parking:condition:both:time_interval|1
placement|1
photo|1
payment:notes|1
payment:debit_cards|1
historic:aeroway|1
historic:amenity|1
historic:name|1
historic:operator|1
historic:railway|1
historic:tunnel|1
payment:cash|1
parking:fee|1
name:zea|1
max_age|1
maxgcweight|1
name:co|1
name:be-x-old|1
name:bi|1
name:bm|1
name:bo|1
name:bxr|1
name:cbk-zam|1
name:cdo|1
name:ce|1
name:ceb|1
name:chr|1
name:chy|1
name:ckb|1
name:crh|1
name:bat-smg|1
name:csb|1
name:cu|1
name:da|1
name:diq|1
name:dsb|1
name:dv|1
name:dz|1
name:ee|1
name:udm|1
name:eml|1
name:tzl|1
name:ty|1
name:bcl|1
name:bar|1
name:za|1
name:wa|1
maxheight:lanes|1
name:yue|1
name:yo|1
name:xmf|1
name:xh|1
name:xal|1
maxstay|1
name:wuu|1
name:wo|1
memorial|1
min_age|1
name:war|1
monitoring_station|1
name:ba|1
name:vo|1
name:vls|1
name:vep|1
name:vec|1
name:ab|1
name:ace|1
name:als|1
name:am|1
name:arz|1
name:as|1
name:av|1
name:ay|1
yelp|1
